"","klasifikasi","score","text"
"234","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"235","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"236","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"237","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"238","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"239","Negatif",-1," vbb  surat lengkap pajak onjt sajawa     jualvespa  vespamurah jualvespavbb "
"240","Positif",2," mohon ijin om admin    srpint  bpkb merah plat ab surat komplit pajak hidup tertib noka nosin akur no rengkes ak"
"241","Negatif",-2,"gblk bat punya abang bisa bisanya dia lupa bayar pajak stnk udh mati sebulan"
"242","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"243","Netral",0," pemerintah  mengantongi penerimaan sebesar rp  m dari pajak kripto dan fintechpp lending atau pinjol sepanjang ju"
"244","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"245","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"246","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"247","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"248","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"249","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"250","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"251","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"252","Netral",0,"capaian pendapatan pbb dumai lebihi target   badan pendapatan daerah bapenda kota dumai "
"253","Netral",0," gaji bulanan orang sering nominalnya sering naik  tapi secara rill jadi rendah setelah dihitung dgn ken "
"254","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"255","Negatif",-1," udah bersih tapi khusus ls aja kayaknya kalau belum sama pajak ada tulisannya"
"256","Negatif",-1," dulu baik itu portugis inggrisbelandaspanyol harus  ber darah saat akan menguasai tanah  kini cukup dengan investa"
"257","Netral",0," pemerintah  mengantongi penerimaan sebesar rp  m dari pajak kripto dan fintechpp lending atau pinjol sepanjang ju"
"258","Netral",0," no bahasa sehari jacil"
"259","Netral",0,"rumah wonosari tanpa dp cicilan  jutaan   luas   sudah terjual  unit dari  unit promo    juta sudah d "
"260","Negatif",-1," wuihhebat ya gaes habis berapa kira biaya yg dikeluarkan kas negara untuk pengamanan acara ini ya bersyukurlah pak presi"
"261","Negatif",-1," wuihhebat ya gaes habis berapa kira biaya yg dikeluarkan kas negara untuk pengamanan acara ini ya bersyukurlah pak presi"
"262","Positif",2," jenis pajaknya banyak banget tapi jalan baru tetap aja dibangun oleh swasta dan berbayar uang pajak tersebut kemana"
"263","Positif",1,"  emang siapa yg baru kerja sebulan  pls info"
"264","Netral",0,"  sok kau udh bayar pajak yg benar"
"265","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"266","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"267","Negatif",-2,"  starlet se  jt nego pajak on list kaca utuh mesin sehat bertenaga kipas radiator otomatis ac dingin lampu full k"
"268","Netral",0," khusus jabodetabek area pinjaman kta dari bank asing maksimal  juta     syarat ktp cc npwp     pakai bukti potong pajak "
"269","Netral",0," lu aj yg guoblok bong  enggak ngerti pajak rakyat di naikkan sementara investor pajak gratis itu apa "
"270","Netral",0,"yuk yang mau dibantu buat tugas  kuis  ujian   brevet  akuntansi  pajak  langsung dm yukk"
"271","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"272","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"273","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"274","Negatif",-1,"hai mbak pacarmu yang kamu pamerkan itu blm bayar pajak jadian sama pajak annive"
"275","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"276","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"277","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"278","Netral",0," yh bnerrrr slmt km mndptkan k di potong pajak "
"279","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"280","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"281","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"282","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"283","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"284","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"285","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"286","Negatif",-1,"wuihhebat ya gaes habis berapa kira biaya yg dikeluarkan kas negara untuk pengamanan acara ini ya bersyukurlah "
"287","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"288","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"289","Negatif",-1,"si paling anak akuntansi dan si paling ngambil konsentrasi pajak jujur sekelas yang pagi  sore ngambil konsentrasi "
"290","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"291","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"292","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"293","Negatif",-1,"kanit sabhara polsek singkil patroli rutin dan pengamanan di pajakonan harian desa pasar di kecsingkil agar pedag "
"294","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"295","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"296","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"297","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"298","Netral",0," mjb itu harganya udh sma pajak"
"299","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"300","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"301","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"302","Negatif",-1,"      ga kuat mental dia"
"303","Negatif",-1," bu sri bilang naikin pajak bang sama ngutang ke negara orang buat di wariskan "
"304","Negatif",-2," piko lagi ovt karena habis dibandingin sama si soleh karyawan ditjen pajak amp  pororo si pengusaha "
"305","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"306","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"307","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"308","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"309","Netral",0,"sebagai commercial bank bri membukukan laba rp triliun dalam  bulan pertama di tahun  dan sebagian di a "
"310","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"311","Negatif",-1," administrasi pajak nanggung bgt tinggal  pas ku udah selesai kamis kmrn soalnya btw pajak ini harusn "
"312","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"313","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"314","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"315","Netral",0," khusus jabodetabek area pinjaman kta dari bank asing maksimal  juta     syarat ktp cc npwp     pakai bukti potong pajak "
"316","Positif",2," untuk dijual  rr cbu  mesin sehat siap tour jawa bali pajak off perintilan banyakan orinya cek kerumah sampe puas bek"
"317","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"318","Positif",2," mohon ijin om admin    srpint  bpkb merah plat ab surat komplit pajak hidup tertib noka nosin akur no rengkes ak"
"319","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"320","Negatif",-1," vbb  surat lengkap pajak onjt sajawa     jualvespa  vespamurah jualvespavbb "
"321","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"322","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"323","Netral",0,"open jastip  kwangya smstore jakarta   visit   amp   desember    jogja  pelunasan manualco shopee  dp  "
"324","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"325","Positif",1," indonesia diurus pemimpin rakus pajak entah kemana pendapat daerah lebih bnyk ke pusat  dari dulu   dah mending jua"
"326","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"327","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"328","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"329","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"330","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"331","Netral",0," halo gaes kita open joki   skripsi amp  jurnal skripsi  parafrase  toefl   makalah amp  artikel  akuntansi amp  paja"
"332","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"333","Negatif",-1," kalo ga ambil additional lauk berdua bawa  ada kembalian dikit kok paket biasanya ada yg an gt "
"334","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"335","Negatif",-2,"lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat ter "
"336","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"337","Netral",0," klo bs jng cm dihadang pakpentungin aja skalian  biar rakyat yg bayar kalian gk sia ngeluarin pajak"
"338","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"339","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"340","Negatif",-1," jokowi kaget investor ikn membludak  sebelumnya nawarin investasi kesana kesini sampai ditawarin diskon pajak dan hgb"
"341","Positif",1," kita akan melihat pemandangan kek gini harihari ke depan di semua daerah ketika safari keliling indonesia bahkan keliling du"
"342","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"343","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"344","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"345","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"346","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"347","Negatif",-2,"   yg kmrn ini karena belum harga total tambah pajak wkwk "
"348","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"349","Negatif",-1,"  mengawal tanah ikn tetap di kuasai asing  th bebas pajak bagi investor  th gaji murah kerja kontrak m"
"350","Negatif",-2,"tragedi pak timboel  pesta duit pajak rakyat   proyek mangkrak di era jokowi namanya food estate atau lumbung pa "
"351","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"352","Positif",1," lah terus negara ini dapat apa dong klo sampe begitu mudahnya memberikan kepemilikan tanah bebas pa "
"353","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"354","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"355","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"356","Netral",0," pemerintah  mengantongi penerimaan sebesar rp  m dari pajak kripto dan fintechpp lending atau pinjol sepanjang ju"
"357","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"358","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"359","Positif",1," kita akan melihat pemandangan kek gini harihari ke depan di semua daerah ketika safari keliling indonesia bahkan keliling du"
"360","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"361","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"362","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"363","Netral",0," mau dapet kursi di dirjen pajak bisa gak ngedip"
"364","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"365","Positif",1,"need joki membuat karya ilmiah tentang pengaruh naiknya pajak drop fee nya"
"366","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"367","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"368","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"369","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"370","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"371","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"372","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"373","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"374","Negatif",-1,"ya allah ini murcee soalnya sdh redi ina  pajak biasanya ls redi ina sekitar  "
"375","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"376","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"377","Netral",0," pemerintah  mengantongi penerimaan sebesar rp  m dari pajak kripto dan fintechpp lending atau pinjol sepanjang ju"
"378","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"379","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"380","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"381","Negatif",-2,"ciprut maaf ya kalo aku sering bandingin kamu sama soleh soalnya kamu cuma bisa berak makan turu ga kaya soleh y "
"382","Positif",1," indonesia diurus pemimpin rakus pajak entah kemana pendapat daerah lebih bnyk ke pusat  dari dulu   dah mending jua"
"383","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"384","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"385","Negatif",-1," jokowi kaget investor ikn membludak  sebelumnya nawarin investasi kesana kesini sampai ditawarin diskon pajak dan hgb"
"386","Negatif",-3,"keknya kucing aku tertekan tiap denger nama soleh si kucing pajak"
"387","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"388","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"389","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"390","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"391","Negatif",-3,"mahasiswa uner biasanya ngomong sama kcg kampus sbg bagian pelepas penat dan stres  tapi semenjak ada soleh kcg ka "
"392","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"393","Negatif",-1," mengawal tanah ikn tetap di kuasai asing  th bebas pajak bagi investor  th gaji murah kerja "
"394","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"395","Netral",0,"  oh jd lu bayar pake duit pajak gue apa gmna"
"396","Positif",1,"bayar pbb toba samosir  cek tagihan pajak pbb online gt  peluang usaha agen pulsa amp  ppob online usaha makin untung "
"397","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"398","Negatif",-2,"     kerennn donggg btw bayar pajak kendaraan ga tuh"
"399","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"400","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"401","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"402","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"403","Netral",0,"     butuh revolusi mental"
"404","Negatif",-3,"isi tweet nya kalo ga kring pajak ya cs indihome"
"405","Netral",0," gak nyadar apanjabat juga makan gaji dari pajak warga indonesia tp yg d pikirin cuma kepentingan cina mlulu"
"406","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"407","Positif",1," dirjen pajak senyum lebar melihat fenomena ini"
"408","Netral",0," selamatselamat put dapat  jt rupiah dipotong pajak "
"409","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"410","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"411","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"412","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"413","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"414","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"415","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"416","Positif",1,"kawan yg butuh jasa joktug bisa pakai jasa kita yaaa terima   jastul  jastik  tugas sekolah  tugas pajak  or "
"417","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"418","Positif",1,"profesor islam qatar pertama minta non muslim untuk masuk islam kmudian buat mereka membayar pajak jizyah non "
"419","Netral",0,"      lah ngapain pak masa bergerak kita s "
"420","Negatif",-2,"ayo download dan klik link referal  untuk dapatkan  mcflurry harga special rp  sebel "
"421","Negatif",-1," giliran lu kena hiv itu pajak masyarakat yang lu pake buat obatnya"
"422","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"423","Negatif",-3,"  sejarah tinju di indonesia bermula saat banyaknya pribumi dan orang belanda saling adu jotos di tahun "
"424","Negatif",-1,"kantor pajak korsel mulai selidiki ceo agensi lee seung gi atas dugaan penyelewengan dana "
"425","Positif",1," indonesia diurus pemimpin rakus pajak entah kemana pendapat daerah lebih bnyk ke pusat  dari dulu   dah mending jua"
"426","Negatif",-2," sering terjadi jangan arogan yaa teman teman rider sama sama bayar pajak kendaraan ko saya juga rider "
"427","Netral",0,"  apabila perusahaan baru lalu jika ingin restitusi dan kita memenuhi wp pasal  ayat  c apakah haru "
"428","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"429","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"430","Positif",1,"peringati dies natalis ke feb unisma gelar seminar pajak "
"431","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"432","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"433","Netral",0,"bayar pajak  dikasih duit cuma  wkwkwkwk"
"434","Negatif",-1,"     ga kuat mental dia"
"435","Netral",0,"  dipotong pajak "
"436","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"437","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"438","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"439","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"440","Negatif",-1,"  lah kok ga melayani rakyat yang bayar pajak malah melayani investor china"
"441","Negatif",-2,"  udah sama pajak ga kak"
"442","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"443","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"444","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"445","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"446","Negatif",-1,"mau bayar pajak stnk via online dibikin susah harus pake sms segala kalo bayar pajak stnk dateng langsung ya harus ekstra sabar"
"447","Positif",1," kita akan melihat pemandangan kek gini harihari ke depan di semua daerah ketika safari keliling indonesia bahkan keliling du"
"448","Negatif",-1,"pemerintah kantongi penerimaan negara rp  m dari pajak  kripto dan fintech "
"449","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"450","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"451","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"452","Negatif",-2," hgb  sd  tahun dan bebas pajak  tahun tentu pemodal pasti mau tetapi apa bukan menjual sec "
"453","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"454","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"455","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"456","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"457","Netral",0,"kapolrestabes medan melalui kapolsek medan kota agar personil polsek medan kota melakukan penertiban dan penghimbau "
"458","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"459","Negatif",-1,"   penguasa balaikota jakarta  pegawai pajak  selebcatpengusaha fashion  pengangguran cerewet  "
"460","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"461","Positif",3,"  ijin lapak mau jual vespa super ku pajak hidup tangan pertama surat lengkap "
"462","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"463","Negatif",-2,"dunia perkucingan sedang naik daun ya dari pororo si pengusaha soleh si pegawai pajak bobby nya pak prabowo udah  "
"464","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"465","Netral",0," pemerintah  mengantongi penerimaan sebesar rp  m dari pajak kripto dan fintechpp lending atau pinjol sepanjang ju"
"466","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"467","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"468","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"469","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"470","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"471","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"472","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"473","Negatif",-1,"hasil pajak ke masyarakat ya bu sri mulyani bawa kabar baik buat warga ri dijamin happy "
"474","Positif",1," sebesar rp  triliun dalam enam bulan pertama tahun  dengan porsi yang dibayarkan kepada pemerintah sebagai dividen"
"475","Positif",1,"  bedanya cuma di pajak si kalau bikin pabrik pengolahan di sini pajaknya berupa pajak indu "
"476","Negatif",-1,"  lupaefin  a pribadi b sudah"
"477","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
